Model,Vehicle,Type,Origin,Seats,Drive,Engine,Cylinders,Horsepower,Mileage Overall,Mileage Highway,Mileage City,Zero-60 (sec),Braking Dry (ft),Braking Wet (ft),Avoidance Maneuver (mph),Length,Width,Height,Wheelbase,Turning Circle,Weight,Max Load,Cargo Volume,Front Shoulder,Front Leg Room,Front Head Room,Rear Shoulder,Rear Leg Room,Rear Head Room,Reliable,Satisfaction,Routine Handling,Emergency Handling,CrashDriver,CrashPassenger,SideCrashDriver,SideCrashPassenger,Frontal Offset-IIHS,Side-IIHS,Rollover Rating,Price,Category,Unnamed: 43
Acura MDX,sport utility,luxury sport utility,Asia,7.0,all,3.7,6.0,305.0,17.0,23.0,11.0,8.0,134.0,139.0,48.0,191.0,79.0,66.0,108.0,40.0,4595.0,1160.0,35.5,61.5,41.0,4.5,60.0,28.5,4.0,good,good,very good,good,5,5,5,5.0,good,good,good,47000.0,0.0,
Acura RDX,sport utility,small sport utility,Asia,5.0,all,2.3,4.0,240.0,18.0,25.0,13.0,7.4,133.0,145.0,53.5,181.0,74.0,65.0,104.0,41.0,4015.0,870.0,29.5,57.5,40.5,4.0,55.0,27.5,3.5,good,fair,very good,very good,5,5,5,5.0,good,good,good,37000.0,0.0,
Acura RL,car,luxury car,Asia,5.0,all,3.5,6.0,300.0,18.0,29.0,12.0,6.9,131.0,148.0,51.5,194.0,73.0,57.0,110.0,43.0,4035.0,850.0,13.0,57.5,42.0,5.0,55.0,28.0,2.5,good,good,very good,very good,5,5,5,5.0,good,good,excellent,53000.0,0.0,
Acura RSX,car,sports car,Asia,4.0,front,2.0,4.0,201.0,26.0,,,7.3,145.0,,53.0,172.0,68.0,55.0,101.0,40.0,2780.0,700.0,16.0,52.5,41.5,3.5,49.0,24.0,0.0,good,average,very good,very good,5,5,4,,,,good,23000.0,0.0,
Acura TL,car,upscale car,Asia,5.0,front,3.5,6.0,280.0,23.0,33.0,16.0,6.8,128.0,140.0,52.5,195.0,74.0,57.0,109.0,41.0,3705.0,850.0,13.0,58.0,42.0,3.5,55.0,28.5,3.0,good,good,very good,very good,5,5,,,good,good,excellent,39000.0,0.0,
Acura TSX,car,family car,Asia,5.0,front,2.4,4.0,205.0,23.0,,,9.2,136.0,,52.5,183.0,69.0,57.0,105.0,40.0,3315.0,850.0,13.0,55.0,41.0,3.0,52.5,27.0,2.5,good,good,,,5,5,5,5.0,good,good,excellent,31000.0,0.0,
Audi A3,car,family car,Europe,5.0,front or all,2.0,4.0,200.0,25.0,33.0,18.0,7.3,134.0,149.0,54.0,169.0,77.0,56.0,102.0,35.0,3305.0,990.0,19.5,54.0,42.0,4.5,52.5,25.5,2.0,fair,good,excellent,very good,5,5,5,5.0,good,good,,34000.0,0.0,
Audi A4,car,upscale car,Europe,5.0,front or all,3.2,6.0,255.0,20.0,,,8.3,134.0,,54.0,180.0,70.0,56.0,104.0,37.0,3750.0,1060.0,13.0,54.0,41.5,3.5,51.5,24.5,2.5,,,excellent,very good,5,5,5,5.0,good,good,excellent,45000.0,0.0,
Audi A5,car,upscale car,Europe,4.0,all,3.2,6.0,265.0,,,,,,,,182.0,73.0,54.0,108.0,,3595.0,,12.0,,,,,,,,,,,5,5,5,5.0,,,,48000.0,0.0,
Audi A6,car,luxury car,Europe,5.0,front or all,3.2,6.0,255.0,21.0,30.0,14.0,7.7,129.0,144.0,52.0,194.0,71.0,57.0,112.0,40.0,4115.0,1100.0,16.0,56.0,42.0,3.0,54.5,27.5,3.0,average,good,very good,very good,,,,,good,good,,55000.0,0.0,
Audi A8,car,luxury car,Europe,5.0,all,4.2,8.0,330.0,17.0,26.0,11.0,7.6,131.0,140.0,49.5,204.0,75.0,57.0,121.0,41.0,4505.0,1210.0,18.0,58.5,43.0,3.0,55.5,34.5,3.5,average,good,very good,good,,,,,,,,88000.0,0.0,
