Name,Origin,Cylinders,Horsepower
Acura MDX,Asia,6,305
Acura RDX,Asia,4,240
Acura RL,Asia,6,300
Acura RSX,Asia,4,201
Acura TL,Asia,6,280
Acura TSX,Asia,4,205
Audi A3,Europe,4,200
Audi A4,Europe,6,255
Audi A5,Europe,6,265
Audi A6,Europe,6,255
Audi A8,Europe,8,330
Audi Q7,Europe,8,350
Audi TT,Europe,4,225
BMW 1 Series,Europe,6,300
BMW 3 Series,Europe,6,230
BMW 5 Series,Europe,6,300
BMW 6 Series,Europe,8,360
BMW 7 Series,Europe,8,360
BMW X3,Europe,6,260
BMW X5,Europe,6,260
BMW X6,Europe,6,300
BMW Z4,Europe,6,225
Buick Enclave,USA,6,275
Buick LaCrosse,USA,6,200
Buick Lucerne,USA,8,275
Buick Rainier,USA,6,275
Buick Rendezvous,USA,6,242
Buick Terraza,USA,6,201
Cadillac CTS,USA,6,263
Cadillac DTS,USA,8,275
Cadillac Escalade,USA,8,403
Cadillac SRX,USA,6,255
Cadillac STS,USA,6,302
Cadillac XLR,USA,8,320
Chevrolet Avalanche,USA,8,310
Chevrolet Aveo,USA,4,103
Chevrolet Cobalt,USA,4,148
Chevrolet Colorado,USA,5,220
Chevrolet Corvette,USA,8,505
Chevrolet Equinox,USA,6,185
Chevrolet HHR,USA,4,172
Chevrolet Impala,USA,6,242
Chevrolet Malibu,USA,4,169
Chevrolet Malibu Hybrid,USA,4,164
Chevrolet Silverado 1500,USA,6,295
Chevrolet Suburban,USA,8,320
Chevrolet Tahoe,USA,8,320
Chevrolet TrailBlazer,USA,6,291
Chevrolet Uplander,USA,6,200
Chrysler 300,USA,8,340
Chrysler Aspen,USA,8,340
Chrysler Crossfire,USA,6,215
Chrysler Pacifica,USA,6,253
Chrysler PT Cruiser,USA,4,180
Chrysler Sebring,USA,6,189
Chrysler Town & Country,USA,6,251
Dodge Avenger,USA,6,235
Dodge Caliber,USA,4,158
Dodge Challenger,USA,6,250
Dodge Charger,USA,8,340
Dodge Dakota,USA,8,230
Dodge Durango,USA,8,335
Dodge Grand Caravan,USA,6,197
Dodge Journey,USA,6,235
Dodge Magnum,USA,6,250
Dodge Nitro,USA,6,210
Dodge Ram 1500,USA,8,345
Dodge Viper,USA,10,510
Ford Crown Victoria,USA,6,265
Ford Edge,USA,6,265
Ford Escape,USA,6,200
Ford Expedition,USA,8,300
Ford Explorer,USA,6,210
Ford Explorer Sport Trac,USA,6,210
Ford F-150,USA,8,300
Ford F-250,USA,8,350
Ford Flex,USA,6,262
Ford Focus,USA,4,132
Ford Freestar,USA,6,203
Ford Freestyle,USA,6,221
Ford Fusion,USA,6,221
Ford Mustang,USA,6,210
Ford Ranger,USA,6,201
Ford Taurus,USA,6,263
Ford Taurus X,USA,6,263
